ideal1,ideal2,ideal3,ought1,ought2,ought3
successful,recognized,efficient,responsible,organized,reliable
honest,succesful,intelligent,brave,supportive,respected
patient,enthusiastic,empathetic,helpful,brave,prepared
honest,intelligent,agile,polite,calm,glib
Soft-hearted,successful,patience,respectful,friendly,caring
successful,wise,happy,hardworking,understanding,dedicated
relaxed,intelligent,charming,successful,kind,giving
rich,funny,loving,smart,brave,hardworking
brave,happy,adventurous,social,successful,healthy
honest,caring,pleasant,giving,modest,helpful
successful,motherly,admired,helpful,loving,compassionate
want,need,pine,should ,can be,may be
loving,modest,happy,honest,giving,faithful
Objective,Inspiring,Successful,Peaceful,Intelligent,Friendly
successful,happy,kind,honest,responsible,fair
tenacious,wealthy,caring,compassionate,hard-working,disciplined
kind,funny,fun-loving,thrifty,smart,friendly
creative,confident,insightful,self-sufficient,generous,loving
giving,successful,wise,moral,compassionate,warm
friendly,ambitious,honest,helpful,hardworking,fair
morning person,outgoing,physically active,financially stable,energetic,social
knowledgeable ,humble,wise,generous,forgiving,energetic
courageous,respected,regarded,fearless ,driven,loving
Creative,Successful,Healthy,Hardworking,Considerate,Maternal
kindness,helpful,active,generous,loving,busy
wealthy,healthy,energized,athletic,happy,healthy
smart ,motivated,fun,brave,popular,loved
Friendly,Rich,Successful ,Proficient ,Peaceful ,Caring
nice,attractive,rich,generous,efficient,likable
understanding,peaceful,faithful,generous,hard working,steadfast 
Happy,Humble,Courageous,Honest,Loyal,Fair
Happy,Brave,wealthy,hard worker,chill,kind
brave,wealthy,caring,disciplined,moral,courageous
Successul,Romantic,Sincere,Hardworking,Honest,Consistent
creative,successful,calm,proactive,considerate,hardworking
kind,thoughtful,artistic,hardworking,successful,active
successful,confident,resilient,socialable,friendly,tolerant
smart,happy,strong,hardworking,loyal,friendly
smart,charitible,more loving,frugal,brave,craftier
strong,wise,ambitious,mature,disciplined,courageous
hardworking,willful,rich,intelligent,compassionate,social
generous,caring,friendly,kind,nice,truthful
motivated,focused,happy,responsible,optimistic,successful
Friendly,Successful,Communicative,Forgiving,Loving,Helpful
Responsible,Successful,Forgiving,Sympathetic ,Mature,Diligent 
caring,righteous,fulfilled,charitable,forgiving,humble
successful,disease-free,unbothered,philanthropist,conscientious ,well-mannered
Caring,Compassionate,Creative,Giving,Passionate,Intelligent
LEADER,PATIENT,WEALTHY,SUCCESSFUL,OPTIMISTIC,OUTSPOKEN
generous,clever,smart,considerate,patient,focused 
Happy,smart,caring,Hardworking ,Good,Nice
kind,successful,respected,generous,helpfu,moral
healthy,compassioante,wise,tolerant,extraverted,patient
self sufficient,creative,secure,social,happy,hard working
wealthy,caring,funny,honest,kind,fit
caring,strong,outgoing,honest,disciplined,decisive
healthy,stable,wise,motivated,happy,honest
farmer,farmer,farmer,farmer,farmer,farme
generous,succesful,inquisitive,ambitous,loving,charitable
kind,More considerate,Successful,wealthy,More undestanding,More loving
honest,persistent,loyal,confident,generous,kind
honest,wise,clear-headed,brave ,industrious,calm
honest,forgiving,patient,kind,hopeful,conscientious
honest,Kind,Generous,Leader,Confident,Compassionate
Honest,Selfless,Good Listener,Kind,Open minded,Emphatic 
happy,successful,wise,forgiving,caring,loving
honest,proud,smart,hard working,fearless,daring
wealthy,likeable,friendly,sociable,successful,skilled
strong,mindful,whole,happy,successful,motivated
Successful,Intelligent,Creative,Obedient,Dutiful,Patient
brave,wise,thoughtful,driven,kind,sociable
compassionate,honest,friendly,fair,insightful,helpful
generous,inspiring,caring,passionate,courageous ,hard working
